service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20260302,20260611
2,0,0,0,0,0,0,0,20251222,20260105
3,0,0,0,0,0,0,0,20251218,20260220
4,0,0,0,0,0,0,0,20260228,20260613
5,0,0,0,0,0,0,0,20251231,20260221
6,0,0,0,0,0,0,0,20251224,20251224
7,0,0,0,0,0,0,0,20251220,20260131
8,0,0,0,0,0,0,0,20251221,20260222
9,0,0,0,0,0,0,0,20260301,20260614
10,0,0,0,0,0,0,0,20251222,20260227
11,0,0,0,0,0,0,0,20251231,20260228
12,0,0,0,0,0,0,0,20251221,20260301
13,0,0,0,0,0,0,0,20260223,20260617
14,0,0,0,0,0,0,0,20260207,20260221
15,0,0,0,0,0,0,0,20251218,20260331
16,0,0,0,0,0,0,0,20251221,20260329
17,0,0,0,0,0,0,0,20251231,20260328
18,0,0,0,0,0,0,0,20260207,20260328
19,0,0,0,0,0,0,0,20251231,20251231
20,0,0,0,0,0,0,0,20251220,20260328
21,0,0,0,0,0,0,0,20260403,20260614
22,0,0,0,0,0,0,0,20260401,20260611
23,0,0,0,0,0,0,0,20260404,20260613
24,0,0,0,0,0,0,0,20260407,20260617
25,0,0,0,0,0,0,0,20260201,20260222
26,0,0,0,0,0,0,0,20260126,20260220
27,0,0,0,0,0,0,0,20251218,20260123
28,0,0,0,0,0,0,0,20251221,20260125
29,0,0,0,0,0,0,0,20251220,20260221
30,0,0,0,0,0,0,0,20251220,20260412
31,0,0,0,0,0,0,0,20251218,20260416
32,0,0,0,0,0,0,0,20251218,20260416
33,0,0,0,0,0,0,0,20251221,20260412
34,0,0,0,0,0,0,0,20251218,20260416
35,0,0,0,0,0,0,0,20251220,20260412
36,0,0,0,0,0,0,0,20251220,20260411
37,0,0,0,0,0,0,0,20251225,20251225
38,0,0,0,0,0,0,0,20251222,20251229
39,0,0,0,0,0,0,0,20251218,20260617
40,0,0,0,0,0,0,0,20251230,20260105
41,0,0,0,0,0,0,0,20251220,20260613
42,0,0,0,0,0,0,0,20251219,20260612
43,0,0,0,0,0,0,0,20251221,20260614
44,0,0,0,0,0,0,0,20251220,20260613
45,0,0,0,0,0,0,0,20251220,20260613
46,0,0,0,0,0,0,0,20251221,20260614
47,0,0,0,0,0,0,0,20251218,20260617
48,0,0,0,0,0,0,0,20251218,20260617
49,0,0,0,0,0,0,0,20251218,20260617
50,0,0,0,0,0,0,0,20251218,20260617
51,0,0,0,0,0,0,0,20251218,20260617
52,0,0,0,0,0,0,0,20251218,20260617
53,0,0,0,0,0,0,0,20251220,20260613
54,0,0,0,0,0,0,0,20251220,20260614
55,0,0,0,0,0,0,0,20251220,20260613
56,0,0,0,0,0,0,0,20251221,20260614
57,0,0,0,0,0,0,0,20251218,20260617
58,0,0,0,0,0,0,0,20251219,20260613
59,0,0,0,0,0,0,0,20251229,20260515
60,0,0,0,0,0,0,0,20251220,20260614
61,0,0,0,0,0,0,0,20251219,20260612
62,0,0,0,0,0,0,0,20251218,20260617
63,0,0,0,0,0,0,0,20251219,20260613
64,0,0,0,0,0,0,0,20251218,20260617
65,0,0,0,0,0,0,0,20251218,20260617
66,0,0,0,0,0,0,0,20251218,20260617
67,0,0,0,0,0,0,0,20260129,20260129
68,0,0,0,0,0,0,0,20260107,20260617
