feature,importance
stop_sequence,0.21234086497170926
hour_sin,0.12876669966174115
direction_id_1,0.12706516189632341
temperature_2m,0.06822753894424201
dew_point_2m,0.06519782255575284
hour_cos,0.04724166654348367
hour,0.044673611234585124
wind_direction_10m,0.042542570260634106
wind_speed_10m,0.042359519547565005
day_sin,0.0371750772806383
wind_gusts_10m,0.028643566434243907
month_cos,0.0190575557246207
month_sin,0.018557365951279953
vacances_scolaires,0.014794562743809034
cloud_cover,0.014201304090061354
month,0.012905723052447646
snowfall,0.01075038940961332
day_cos,0.010662266540955723
rain,0.010195843941080309
est_jour_ferie,0.007930000437429106
day_of_week,0.007810189929360938
precipitation,0.00661712044714254
soleil_leve,0.004676479677796234
weather_code_75,0.0032590311082468675
weather_code_71,0.0029795022730158822
est_weekend,0.0021607449857416403
risque_gel_neige,0.001611440889409861
weather_code_53,0.001473079586942771
weather_code_55,0.0013416571523646847
weather_code_1,0.0012838641673746476
weather_code_2,0.0010076438720232244
weather_code_51,0.0009321292675689167
weather_code_3,0.0005928222865229103
weather_code_61,0.00042486489917203555
neige_fondue,0.00028605531680033733
weather_code_73,0.00017911140897465964
weather_code_65,7.515150932599178e-05
risque_gel_pluie,0.0
weather_code_63,0.0
