feature,importance
stop_sequence,0.19384230119860238
hour_sin,0.1013881835226062
direction_id_1,0.09624964927464932
temperature_2m,0.07268333018229221
dew_point_2m,0.07060813296501424
wind_direction_10m,0.06086708403277462
wind_speed_10m,0.055563346030465165
wind_gusts_10m,0.05505155263930935
hour,0.05079957021872684
hour_cos,0.04948935332450554
month_cos,0.030069852074230376
day_sin,0.026685736442121976
cloud_cover,0.02493984591192512
day_cos,0.01703149022757817
month_sin,0.014208674170864154
month,0.011901426443921654
vacances_scolaires,0.011336421522532976
day_of_week,0.008530028179314442
snowfall,0.007373005601337731
precipitation,0.006582083149673163
rain,0.006189406812341344
soleil_leve,0.005640599683300526
est_jour_ferie,0.004712031841929045
weather_code_3,0.0028705462919478117
risque_gel_neige,0.0026346493228208458
weather_code_75,0.0018626612248352442
weather_code_71,0.001813967685376358
weather_code_1,0.0017041962207183738
weather_code_51,0.0016853191117430682
weather_code_2,0.0015867424145602912
weather_code_55,0.0012826564717321083
weather_code_53,0.0010224725923305576
est_weekend,0.0007096318657291411
weather_code_73,0.0004501912562174203
neige_fondue,0.0003949405758885757
weather_code_61,0.00023891951608379043
risque_gel_pluie,0.0
weather_code_63,0.0
