feature,importance
stop_sequence,0.2063677390180277
dew_point_2m,0.10860359455513931
wind_direction_10m,0.09465194565732131
temperature_2m,0.09061029299691055
hour_sin,0.08419077024566465
wind_gusts_10m,0.07529834656132033
wind_speed_10m,0.07180366379588776
hour,0.051713570187074856
hour_cos,0.03886501961568518
cloud_cover,0.029498002573806276
day_sin,0.027587272217270392
day_cos,0.023928360421811734
rain,0.01693290812896958
snowfall,0.013455872151742442
day_of_week,0.013345421675715593
precipitation,0.008832869657107013
month_cos,0.008688799366753201
vacances_scolaires,0.006778453012726282
month,0.006456385798523551
est_jour_ferie,0.006232095213010862
month_sin,0.004732553504331168
soleil_leve,0.004288888537642086
risque_gel_neige,0.003365457907232245
est_weekend,0.0022698188184122167
neige_fondue,0.0015018983819138762
risque_gel_pluie,0.0
