feature,importance
stop_sequence,0.21014033777330152
hour_sin,0.10805933829999999
dew_point_2m,0.09107314058503946
wind_direction_10m,0.08264972736135166
temperature_2m,0.08115903903130413
wind_gusts_10m,0.07411920635541602
wind_speed_10m,0.06349418991659571
hour,0.041508072841251735
cloud_cover,0.033657777298204516
hour_cos,0.03208719110151621
day_sin,0.028547251709918033
day_cos,0.02490068934389264
month_cos,0.02060687116246345
vacances_scolaires,0.015400216862481698
month_sin,0.015276019015244035
snowfall,0.014533508252048122
rain,0.013838799868534696
day_of_week,0.01215275346289295
month,0.01209035603294248
precipitation,0.006373486483704014
soleil_leve,0.005651340933225054
est_jour_ferie,0.005145421255560306
est_weekend,0.003515925420808961
risque_gel_neige,0.0033903243841697656
neige_fondue,0.0006290152481326595
risque_gel_pluie,0.0
